Attaching to grafana-practica, prometheus-practica, redis-practica, postgres-practica, loki-practica, nginx-practica
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.523469684Z level=info msg="Starting Grafana" version=12.3.0 commit=20051fb1fc604fc54aae76356da1c14612af41d0 branch=release-12.3.0 compiled=2025-12-03T17:30:00Z
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.523986468Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524043074Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524063142Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524118817Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524164102Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524193798Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524236459Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524320497Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.52435935Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524439571Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524488524Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524532396Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524571891Z level=info msg="Config overridden from Environment variable" var="GF_USERS_ALLOW_SIGN_UP=false"
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524614601Z level=info msg=Target target=[all]
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524682058Z level=info msg="Path Home" path=/usr/share/grafana
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524737763Z level=info msg="Path Data" path=/var/lib/grafana
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524805Z level=info msg="Path Logs" path=/var/log/grafana
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524859282Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.524935386Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
[36mgrafana-practica |[0m logger=settings t=2025-12-03T17:30:00.525029273Z level=info msg="App mode production"
[36mgrafana-practica |[0m logger=featuremgmt t=2025-12-03T17:30:00.52559054Z level=info msg=FeatureToggles newFiltersUI=true dashboardScene=true grafanaAssistantInProfilesDrilldown=true alertingRuleVersionHistoryRestore=true formatString=true alertingBulkActionsInUI=true pinNavItems=true logsContextDatasourceUi=true dashboardSceneSolo=true azureMonitorEnableUserAuth=true logsPanelControls=true useSessionStorageForRedirection=true improvedExternalSessionHandling=true newLogsPanel=true ssoSettingsLDAP=true preventPanelChromeOverflow=true cloudWatchCrossAccountQuerying=true alertingSaveStateCompressed=true alertingRuleRecoverDeleted=true sharingDashboardImage=true unifiedRequestLog=true influxdbBackendMigration=true cloudWatchRoundUpEndTime=true dataplaneFrontendFallback=true tlsMemcached=true adhocFiltersInTooltips=true addFieldFromCalculationStatFunctions=true logsInfiniteScrolling=true panelMonitoring=true alertingMigrationUI=true dashboardSceneForViewers=true transformationsRedesign=true newPDFRendering=true alertingNotificationsStepMode=true kubernetesDashboards=true grafanaconThemes=true prometheusAzureOverrideAudience=true alertRuleRestore=true awsDatasourcesTempCredentials=true correlations=true logRowsPopoverMenu=true alertingImportYAMLUI=true alertingRulePermanentlyDelete=true unifiedStorageHistoryPruner=true awsAsyncQueryCaching=true improvedExternalSessionHandlingSAML=true alertingUIOptimizeReducer=true onPremToCloudMigrations=true annotationPermissionUpdate=true alertingQueryAndExpressionsStepMode=true onlyStoreActionSets=true cloudWatchNewLabelParsing=true preinstallAutoUpdate=true groupToNestedTableTransformation=true azureMonitorPrometheusExemplars=true recordedQueriesMulti=true lokiQuerySplitting=true logsExploreTableVisualisation=true alertingUseNewSimplifiedRoutingHashAlgorithm=true publicDashboardsScene=true dashgpt=true lokiLabelNamesQueryApi=true dashboardDsAdHocFiltering=true
[36mgrafana-practica |[0m logger=sqlstore t=2025-12-03T17:30:00.525783724Z level=info msg="Connecting to DB" dbtype=sqlite3
[36mgrafana-practica |[0m logger=sqlstore t=2025-12-03T17:30:00.525857503Z level=info msg="Using SQLite driver" driver="mattn/go-sqlite3 (CGO enabled)"
[36mgrafana-practica |[0m logger=sqlstore t=2025-12-03T17:30:00.525953003Z level=info msg="Creating SQLite database file" path=/var/lib/grafana/grafana.db
[36mgrafana-practica |[0m logger=migrator t=2025-12-03T17:30:00.527926531Z level=info msg="Locking database"
[36mgrafana-practica |[0m logger=migrator t=2025-12-03T17:30:00.52816463Z level=info msg="Starting DB migrations"
[36mgrafana-practica |[0m logger=migrator t=2025-12-03T17:30:00.529009271Z level=info msg="Executing migration" id="create migration_log table"
